UF,ANO,Mes,Dec-01,Dec-02,Dec-03,Item,Trans
AC,2018,2,0,0,86943.2,ICMS/LC 87/96 - Lei Kandir,LC 87/96 (Lei Kandir)
AC,2018,2,204121710.92,16696086.2,59533478.39,FPE,FPE
AC,2018,2,21721.15,5386.08,2957.22,IPI-EXP,IPI-Exp
AC,2018,2,5193227.69,430550.16,1545093.55,FPM,FUNDEB
AC,2018,2,3428.86,850.25,466.81,IPI-EXP,FUNDEB
AC,2018,2,0,0,18299.68,LC 87,FUNDEB
AC,2018,2,191.82,179.61,174.41,ITR,FUNDEB
AC,2018,2,412684.64,247576.43,168978.93,IPVA,FUNDEB
AC,2018,2,27720.33,6288.42,4312.99,ITCMD,FUNDEB
AC,2018,2,3635858.42,7308480.87,2245814.43,ICMS,FUNDEB
AC,2018,2,32222502.52,2635631.84,9397910.91,FPE,FUNDEB
AC,2018,2,0,0,1087748.55,FEP,Royalties
AC,2018,2,0,3259.57,0,CFM,Royalties
AL,2018,2,0,0,802410.11,ICMS/LC 87/96 - Lei Kandir,LC 87/96 (Lei Kandir)
AL,2018,2,247704018.55,20289509.42,72395563.71,FPE,FPE
AL,2018,2,650154.24,161215.33,88514.78,IPI-EXP,IPI-Exp
AL,2018,2,8956889.42,742580.62,2664861.39,FPM,FUNDEB
AL,2018,2,41855.25,10378.63,5698.34,IPI-EXP,FUNDEB
AL,2018,2,40642909.65,0,7838471.62,COUN,FUNDEB
AL,2018,2,0,0,68876.05,LC 87,FUNDEB
AL,2018,2,8362.19,419.26,396.03,ITR,FUNDEB
AL,2018,2,517956.47,268142.15,754742.77,IPVA,FUNDEB
AL,2018,2,29336.56,10279.16,24966.16,ITCMD,FUNDEB
AL,2018,2,4257020.53,9187454.38,4068473.83,ICMS,FUNDEB
AL,2018,2,15946541.78,1306185.94,4660638.5,FPE,FUNDEB
AL,2018,2,0,1632543.07,0,ANP,Royalties
AL,2018,2,0,0,1303765.69,FEP,Royalties
AL,2018,2,0,648603.01,0,CFM,Royalties
AL,2018,2,278658.5,0,0,CFH,Royalties
AM,2018,2,0,0,962525.4,ICMS/LC 87/96 - Lei Kandir,LC 87/96 (Lei Kandir)
AM,2018,2,176946448.2,13895632.56,48559549.29,FPE,FPE
AM,2018,2,1350668.32,334918.12,183885.76,IPI-EXP,IPI-Exp
AM,2018,2,11075070.77,918190.7,3295064.56,FPM,FUNDEB
AM,2018,2,150969.14,37435,20553.61,IPI-EXP,FUNDEB
AM,2018,2,140218595.29,0,36015121.36,COUN,FUNDEB
