year,blueValue,redValue
1984,85461,74830
1985,90195,76474
1986,97296,78226
1987,107679,79316
1988,117369,79027
1989,126945,79897
1990,134745,81569
1991,134416,83014
1992,135375,85407
1993,135065,88262
1994,136015,92611
1995,138250,96530
1996,140241,100210
1997,144036,103736
1998,150141,107572
1999,159900,112841
2000,173857,118570
2001,189663,123322
2002,206917,128107
2003,230769,133167
2004,261035,139216
2005,302024,149255
2006,334730,162458
2007,331987,168538
2008,296689,164956
2009,258074,154965
2010,254522,152164
2011,241341,146256
2012,237199,146940
2013,256633,155844
2014,278998,165768
2015,293992,174426
2016,312022,183699
